Titles,IDs,curl command
Table of contents,7876905,curl http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7876905 > Table_of_contents.pdf
IEEE Transactions on Cybernetics,7876890,curl http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7876890 > IEEE_Transactions_on_Cybernetics.pdf
Positive and Unlabeled Multi-Graph Learning,7439802,curl http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7439802 > Positive_and_Unlabeled_Multi-Graph_Learning.pdf
Manifold Partition Discriminant Analysis,7434038,curl http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7434038 > Manifold_Partition_Discriminant_Analysis.pdf
A Wearable Virtual Usher for Vision-Based Cognitive Indoor Navigation,7422089,curl http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7422089 > A_Wearable_Virtual_Usher_for_Vision-Based_Cognitive_Indoor_Navigation.pdf
A Robust and Fast Method for Sidescan Sonar Image Segmentation Using Nonlocal Despeckling and Active Contour Model,7430311,curl http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7430311 > A_Robust_and_Fast_Method_for_Sidescan_Sonar_Image_Segmentation_Using_Nonlocal_Despeckling_and_Active_Contour_Model.pdf
Fuzzy Approximation-Based Global Pinning Synchronization Control of Uncertain Complex Dynamical Networks,7422736,curl http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7422736 > Fuzzy_Approximation-Based_Global_Pinning_Synchronization_Control_of_Uncertain_Complex_Dynamical_Networks.pdf
Joint Dictionary Learning for Multispectral Change Detection,7422756,curl http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7422756 > Joint_Dictionary_Learning_for_Multispectral_Change_Detection.pdf
A PD-Like Protocol With a Time Delay to Average Consensus Control for Multi-Agent Systems Under an Arbitrarily Fast Switching Topology,7428908,curl http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7428908 > A_PD-Like_Protocol_With_a_Time_Delay_to_Average_Consensus_Control_for_Multi-Agent_Systems_Under_an_Arbitrarily_Fast_Switching_Topology.pdf
Decentralized Adaptive Neural Output-Feedback DSC for Switched Large-Scale Nonlinear Systems,7428921,curl http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7428921 > Decentralized_Adaptive_Neural_Output-Feedback_DSC_for_Switched_Large-Scale_Nonlinear_Systems.pdf
An Efficient Method for Traffic Sign Recognition Based on Extreme Learning Machine,7433451,curl http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7433451 > An_Efficient_Method_for_Traffic_Sign_Recognition_Based_on_Extreme_Learning_Machine.pdf
Spectral&#x2013;Spatial Shared Linear Regression for Hyperspectral Image Classification,7428897,curl http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7428897 > Spectral&#x2013;Spatial_Shared_Linear_Regression_for_Hyperspectral_Image_Classification.pdf
Multilayered Echo State Machine: A Novel Architecture and Algorithm,7494974,curl http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7494974 > Multilayered_Echo_State_Machine:_A_Novel_Architecture_and_Algorithm.pdf
Semi-Supervised Image-to-Video Adaptation for Video Action Recognition,7433457,curl http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7433457 > Semi-Supervised_Image-to-Video_Adaptation_for_Video_Action_Recognition.pdf
A Bio-Inspired Approach to Task Assignment of Swarm Robots in 3-D Dynamic Environments,7434030,curl http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7434030 > A_Bio-Inspired_Approach_to_Task_Assignment_of_Swarm_Robots_in_3-D_Dynamic_Environments.pdf
Disturbance Observer-Based Fuzzy Control of Uncertain MIMO Mechanical Systems With Input Nonlinearities and its Application to Robotic Exoskeleton,7434604,curl http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7434604 > Disturbance_Observer-Based_Fuzzy_Control_of_Uncertain_MIMO_Mechanical_Systems_With_Input_Nonlinearities_and_its_Application_to_Robotic_Exoskeleton.pdf
Multiple Exponential Recombination for Differential Evolution,7434010,curl http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7434010 > Multiple_Exponential_Recombination_for_Differential_Evolution.pdf
Adaptive Fuzzy Output-Feedback Stabilization Control for a Class of Switched Nonstrict-Feedback Nonlinear Systems,7434585,curl http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7434585 > Adaptive_Fuzzy_Output-Feedback_Stabilization_Control_for_a_Class_of_Switched_Nonstrict-Feedback_Nonlinear_Systems.pdf
Stacked Convolutional Denoising Auto-Encoders for Feature Representation,7434593,curl http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7434593 > Stacked_Convolutional_Denoising_Auto-Encoders_for_Feature_Representation.pdf
State Estimation of Discrete-Time Switched Neural Networks With Multiple Communication Channels,7440845,curl http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7440845 > State_Estimation_of_Discrete-Time_Switched_Neural_Networks_With_Multiple_Communication_Channels.pdf
Event-Triggered Fault Detection of Nonlinear Networked Systems,7446296,curl http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7446296 > Event-Triggered_Fault_Detection_of_Nonlinear_Networked_Systems.pdf
Constructing the L2-Graph for Robust Subspace Learning and Subspace Clustering,7434007,curl http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7434007 > Constructing_the_L2-Graph_for_Robust_Subspace_Learning_and_Subspace_Clustering.pdf
Flocking of Second-Order Multiagent Systems With Connectivity Preservation Based on Algebraic Connectivity Estimation,7434002,curl http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7434002 > Flocking_of_Second-Order_Multiagent_Systems_With_Connectivity_Preservation_Based_on_Algebraic_Connectivity_Estimation.pdf
A Component-Based Diffusion Model With Structural Diversity for Social Networks,7437433,curl http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7437433 > A_Component-Based_Diffusion_Model_With_Structural_Diversity_for_Social_Networks.pdf
Cross-Domain Recognition by Identifying Joint Subspaces of Source Domain and Target Domain,7437446,curl http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7437446 > Cross-Domain_Recognition_by_Identifying_Joint_Subspaces_of_Source_Domain_and_Target_Domain.pdf
Relational-Regularized Discriminative Sparse Learning for Alzheimer&#x2019;s Disease Diagnosis,7815379,curl http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7815379 > Relational-Regularized_Discriminative_Sparse_Learning_for_Alzheimer&#x2019;s_Disease_Diagnosis.pdf
Consensus and Stability Analysis of Networked Multiagent Predictive Control Systems,7435268,curl http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7435268 > Consensus_and_Stability_Analysis_of_Networked_Multiagent_Predictive_Control_Systems.pdf
Introducing IEEE Collabratec,7876886,curl http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7876886 > Introducing_IEEE_Collabratec.pdf
IEEE Transactions on Cybernetics,7876882,curl http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7876882 > IEEE_Transactions_on_Cybernetics.pdf
IEEE Transactions on Cybernetics,7876891,curl http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7876891 > IEEE_Transactions_on_Cybernetics.pdf
